id,season,episode,scene,line_text,speaker,deleted
1,1,1,1,right jim quarterlies look good things library,Michael,False
2,1,1,1,oh told you close it so,Jim,False
3,1,1,1,come master guidance saying grasshopper,Michael,False
4,1,1,1,actually called here yeah,Jim,False
5,1,1,1,right well let show done,Michael,False
6,1,1,2,[on phone] yes i'd like speak office manager please yes hello michael scott regional manager dunder mifflin paper products wanted talk manager-a-manger [quick cut scene] right done deal thank much sir gentleman scholar oh i'm sorry ok i'm sorry mistake [hangs up] woman talking to so low voice probably smoker so [clears throat] that's way done,Michael,False
7,1,1,3,i've uh i've dunder mifflin 12 years last four regional manager want come here see entire floor kingdom far eye see receptionist pam pam! pam-pam! pam beesly pam us for  forever right pam,Michael,False
8,1,1,3,well know,Pam,False
9,1,1,3,think cute now seen couple years ago [growls],Michael,False
10,1,1,3,what,Pam,False
11,1,1,3,messages,Michael,False
12,1,1,3,uh yeah fax,Pam,False
13,1,1,3,oh! pam corporate many times told you there's special filing cabinet things corporate,Michael,False
14,1,1,3,told me,Pam,False
15,1,1,3,called wastepaper basket! look that! look face,Michael,False
16,1,1,4,people say best boss go 'god we've never worked place like before hilarious.' 'and get best us.' [shows camera world's best boss mug] think pretty much sums up found spencer gifts,Michael,False
17,1,1,5,[singing] shall play you pa rum pump um pum [imitates heavy drumming] gifts you pa rum pump um pum [imitates heavy drumming],Dwight,False
18,1,1,6,job speak clients phone about uh quantities type copier paper know whether supply them whether pay it and i'm boring talking this,Jim,False
19,1,1,7,whassup!,Michael,False
20,1,1,7,whassup! still love seven years,Jim,False
21,1,1,7,whassup!,Michael,False
22,1,1,7,whassup!,Dwight,False
23,1,1,7,whass...up!,Michael,False
24,1,1,7,whassup,Dwight,False
25,1,1,7,[strains grunts] what,Michael,False
26,1,1,7,nothing,Jim,False
27,1,1,7,ok right see later,Michael,False
28,1,1,7,right take care,Jim,False
29,1,1,7,back work,Michael,False
30,1,1,8,[on cell phone] lunch would great,Jan,False
31,1,1,9,corporate really really interfere all jan levinson gould [walking office] jan hello  call hillary rodham clinton right face because well i'm scared her i'm not but um yeah,Michael,False
32,1,1,10,alright anything wanted add agenda,Jan,False
33,1,1,10,um get agenda,Michael,False
34,1,1,10,what i'm sorry,Jan,False
35,1,1,10,get agenda,Michael,False
36,1,1,10,well faxed one morning,Jan,False
37,1,1,10,really didn't [looks pam] get fax morning,Michael,False
38,1,1,10,uh yeah one,Pam,False
39,1,1,10,hand company runs efficiency communication right what's problem pam get it,Michael,False
40,1,1,10,put garbage special filing cabinet,Pam,False
41,1,1,10,yeah joke joke actually brother's and supposed bills work great faxes,Michael,False
42,1,1,10,want look mine,Jan,False
43,1,1,10,yeah yeah lovely thank you,Michael,False
44,1,1,10,ok since last meeting ellen board decided can't justify scranton branch stamford branch,Jan,False
45,1,1,10,ok,Michael,False
46,1,1,10,michael panic,Jan,False
47,1,1,10,no no no no good good fine excellent,Michael,False
48,1,1,10,no no no michael listen ok panic made decided,Jan,False
49,1,1,10,alarm bells kind going ringie-dingie-ding!,Michael,False
50,1,1,10,i've spoken josh stamford i've told either convince branch incorporate other,Jan,False
51,1,1,10,ok problem,Michael,False
52,1,1,10,does however mean going downsizing,Jan,False
53,1,1,10,wanna hear that jan downsizing bitch real bitch wish josh's men certainly wish men women present company excluded sorry uh josh concerned downsizing himself downsizing concerned downsizing,Michael,False
54,1,1,11,question long to [telephone rings] oh uh todd packer terrific rep mind take it,Michael,False
55,1,1,11,go ahead,Jan,False
56,1,1,11,packman,Michel,False
57,1,1,11,hey big queen,Todd Packer,False
58,1,1,11,oh that's appropriate,Michael,False
59,1,1,11,hey old godzillary coming today,Todd Packer,False
60,1,1,11,uh know mean,Michael,False
61,1,1,11,i've meaning ask one question carpet match drapes,Todd Packer,False
62,1,1,11,oh god! oh! that's horrifying horrible horrible person,Michael,False
63,1,1,11,think could keep lid now want worry people unnecessarily,Jan,False
64,1,1,11,no absolutely regime leave office [zips lips] like that,Michael,False
65,1,1,12,downsizing actually mean,Phyllis,False
66,1,1,12,well,Stanley,False
67,1,1,13,guys better update resumes like i'm doing,Oscar,False
68,1,1,14,bet gonna me probably gonna me,Angela,False
69,1,1,14,yeah it'll you,Kevin,False
70,1,1,15,important question you,Pam,False
71,1,1,15,yes,Jim,False
72,1,1,15,going angela's cat party sunday,Pam,False
73,1,1,15,yeah stop ridiculous,Jim,False
74,1,1,16,going tell them no going tell them see point that doctor would tell patient cancer,Michael,False
75,1,1,17,hey,Michael,False
76,1,1,17,hey,Ryan,False
77,1,1,17,mr scott,Pam,False
78,1,1,17,guilty! guilty charged!,Michael,False
79,1,1,17,ryan howard temp agency daniqua sent start today,Ryan,False
80,1,1,17,howard like moe howard three stooges,Michael,False
81,1,1,17,yup,Ryan,False
82,1,1,17,watch this moe nyuck-nyuck-nyuck-nyuck-nyuck mee! [hold hand high five] ah right here three stooges oh pam guy thing pam i'm sort student comedy watch this go [yelling cod german] i'm hitler adolf hitler [continues cod german],Michael,False
83,1,1,18,think would worst thing let go might think many little girls' dream receptionist like illustrations um mostly watercolor oil pencil um jim thinks they're good,Pam,False
84,1,1,18,dunder mifflin pam,Pam,False
85,1,1,19,sure mr davis let call right back yeah something came up two minutes thank much dwight doing,Jim,False
86,1,1,19,what,Dwight,False
87,1,1,19,doing,Jim,False
88,1,1,19,clearing desk can't concentrate,Dwight,False
89,1,1,19,desk,Jim,False
90,1,1,19,overlapping spilling edge one word two syllables demarcation,Dwight,False
91,1,1,19,can't that,Dwight,False
92,1,1,19,not,Jim,False
93,1,1,19,safety violation could fall pierce organ,Dwight,False
94,1,1,19,[crosses fingers] we'll see [dwight begins smashing pencils phone] whole downsizing thing bother me,Jim,False
95,1,1,19,downsizing,Dwight,False
96,1,1,20,downsizing problem that recommending downsizing since first got here even brought interview say bring on,Dwight,False
97,1,1,21,still messages yesterday,Pam,False
98,1,1,21,relax everything's control uh yeah yeah that's important right oh important run answer it [imitating six-million dollar man sound effect],Michael,False
99,1,1,21,what,Pam,False
100,1,1,21,come on six-million dollar man! steve austin! actually would good salary me think six million dollars memo jan deserve raise,Michael,False
101,1,1,21,all,Pam,False
102,1,1,21,i'm sorry,Michael,False
103,1,1,21,nothing,Pam,False
104,1,1,21,unhappy compensation maybe take hr ok today ok pam professional [sighs],Michael,False
105,1,1,22,think i'm role model here think garner people's respect [imitating pa] attention dunder mifflin employees please meeting conference room asap,Michael,False
106,1,1,23,people respect heroes mine would bob hope abraham lincoln definitely bono probably god would fourth one think people really helped world many ways really beyond words really incalculable,Michael,False
107,1,1,24,know there's rumors kind want set record straight,Michael,False
108,1,1,24,i'm assistant regional manager know first,Dwight,False
109,1,1,24,assistant regional manager,Michael,False
110,1,1,24,ok um tell please tell quietly whisper ear,Dwight,False
111,1,1,24,i'm tell everybody i'm tell everybody,Michael,False
112,1,1,24,can't tell us,Oscar,False
113,1,1,24,please ok want tell 'em,Dwight,False
114,1,1,24,know is [laughs],Michael,False
115,1,1,24,ok tell 'em permission permission granted,Dwight,False
116,1,1,24,need permission,Michael,False
117,1,1,24,go ahead,Dwight,False
118,1,1,24,corporate deemed appropriate enforce ultimatum upon me jan thinking downsizing either stamford branch branch,Michael,False
119,1,1,25,heard might closing branch down that's rumor going around first day really know,Ryan,False
120,1,1,26,yeah michael downsize here,Oscar,False
121,1,1,26,gonna happen,Michael,False
122,1,1,26,could hands michael,Stanley,False
123,1,1,26,hands stanley ok promise that,Michael,False
124,1,1,26,promise that,Stanley,False
125,1,1,26,mother's grave,Dwight,False
126,1,1,26,no,Michael,False
127,1,1,26,what,Phyllis,False
128,1,1,26,well yeah promise frankly i'm little insulted keep asking it,Michael,False
129,1,1,26,need know,Stanley,False
130,1,1,26,know hold second think pam wanted say something pam look wanted ask question then,Michael,False
131,1,1,26,meeting jan say could branch gets axe,Pam,False
132,1,1,26,sure that,Man,False
133,1,1,26,well pam maybe stick ongoing confidentiality agreement meetings,Michael,False
134,1,1,26,pam information power,Dwight,False
135,1,1,26,can't say sure whether it'll us them you,Stanley,False
136,1,1,26,no stanley no see her said corporate wants come interfere they're gonna go me right go mess josh's people i'm head family ain't gonna messing chillin,Michael,False
137,1,1,27,left would useless information head know tonnage price manila folders um pam's favorite flavor yogurt mixed berry,Jim,False
138,1,1,28,jim said mixed berries well yeah he's me um [laughs],Pam,False
139,1,1,29,watch guy dwight schrute building ryan new temp,Michael,False
140,1,1,29,what's up nice meet you,Ryan,False
141,1,1,29,introduce yourself polite,Michael,False
142,1,1,29,dwight schrute assistant regional manager,Dwight,False
143,1,1,29,assistant regional manager so uh dwight tell kung fu car everything,Michael,False
144,1,1,29,"uh yeah got '78 280z bought $1,200 fixed up worth three grand",Dwight,False
145,1,1,29,that's profit,Michael,False
146,1,1,29,new engine new suspension got respray i've got photos,Dwight,False
147,1,1,30,damn it! jim!,Dwight,False
148,1,1,30,ok hold on hold on judge session problem here,Michael,False
149,1,1,30,put stuff jell-o again,Dwight,False
150,1,1,30,[laughing],Pam,False
151,1,1,30,that's real professional thanks that's third time funny first two times either jim,Dwight,False
152,1,1,31,ok here people sometimes take advantage relaxed i'm volunteer sheriff's deputy weekends cannot screw around there that's sort one rules,Dwight,False
153,1,1,32,that,Michael,False
154,1,1,32,stapler,Dwight,False
155,1,1,32,no no no take out eat there starving people world [turns camera] hate waste kind food,Michael,False
156,1,1,32,ok know what witness [points ryan] reprimand him,Dwight,False
157,1,1,32,know me,Jim,False
158,1,1,32,always you going discipline not,Dwight,False
159,1,1,32,discipline kinky! [laughs] right here's deal guys thing practical joke know start well stop,Michael,False
160,1,1,32,yeah,Dwight,False
161,1,1,32,yeah jim time stop putting dwight's personal effects jell-o,Michael,False
162,1,1,32,ok dwight i'm sorry always biggest flan,Jim,False
163,1,1,32,[laughing] nice that's way around here kind goes round round,Michael,False
164,1,1,32,put custardy,Ryan,False
165,1,1,32,hey! yes! new guy! scores,Michael,False
166,1,1,32,ok that's great guess i'm concerned damage company property that's all,Dwight,False
167,1,1,32,pudding pudding i'm trying think another dessert do,Michael,False
168,1,1,33,like going end week drink,Jim,False
169,1,1,33,yeah,Pam,False
170,1,1,33,that's we're going out end-of-the-week-drink,Jim,False
171,1,1,33,going out,Pam,False
172,1,1,33,tonight hopefully,Jim,False
173,1,1,33,ok yeah,Pam,False
174,1,1,33,hey man,Roy,False
175,1,1,33,what's going on,Jim,False
176,1,1,33,hey baby,Roy,False
177,1,1,33,hey,Pam,False
178,1,1,34,roy's fiance we've engaged three years supposed get married september think we're gonna get married spring,Pam,False
179,1,1,35,mind go drink guys,Pam,False
180,1,1,35,no no come on let's get go home,Roy,False
181,1,1,35,ok i'm gonna minutes twenty past five still faxes,Pam,False
182,1,1,35,know what come us know we're going could good chance see people like outside office think could fun,Jim,False
183,1,1,35,sounds good seriously we've gotta get going,Roy,False
184,1,1,35,yeah yeah,Jim,False
185,1,1,35,um what's bag,Jim,False
186,1,1,35,tell i'll talk later,Roy,False
187,1,1,35,no definitely right dude awesome do,Jim,False
188,1,1,36,think i'll invited wedding [scratches head],Jim,False
189,1,1,37,felt vibe yet work hard play hard sometimes play hard working hard right guess atmosphere i've created i'm friend first boss second probably entertainer third [knock door] second right oh hey like jamie kennedy experiment punk'd kind stuff,Michael,False
190,1,1,37,yeah,Ryan,False
191,1,1,37,gonna accomplice go along it ok,Michael,False
192,1,1,37,right,Ryan,False
193,1,1,37,follow lead pimp me right come in so uh corporate said want to,Michael,False
194,1,1,37,got fax,Pam,False
195,1,1,37,oh thank you pam come sec seat gonna call anyway know ryan know going downsizing made life much easier going let go first,Michael,False
196,1,1,37,what why,Pam,False
197,1,1,37,why well theft stealing,Michael,False
198,1,1,37,stealing supposed stolen,Pam,False
199,1,1,37,post-it notes,Michael,False
200,1,1,37,post-it notes worth 50 cents,Pam,False
201,1,1,37,50 cents yeah steal thousand post-it notes 50 cents apiece know  made profit margin gonna run us business pam,Michael,False
202,1,1,37,serious,Pam,False
203,1,1,37,yeah am,Michael,False
204,1,1,37,can't believe this mean never even stolen much paperclip firing me,Pam,False
205,1,1,37,best thing we're going give severance pay gross misconduct and clean desk i'm sorry,Michael,False
206,1,1,37,[pam starts crying] x'd punk! [laughing] surprise! joke joking around see ok it accomplice kind morale booster thing showing new guy around giving feel place you god totally got you,Michael,False
207,1,1,37,jerk,Pam,False
208,1,1,37,know that,Michael,False
209,1,1,38,important thing company cash flow inventory nuh-uh people people proudest moment increased profits 17% cut expenses without losing single employee no no no no no young guatemalan guy first job country barely spoke english came me said 'mr scott would godfather child?' wow wow work end let go sucked,Michael,False
210,1,1,39,hey,Pam,False
211,1,1,39,hey,Jim,False
212,1,1,39,things,Jim,False
213,1,1,39,good thought going drink with,Pam,False
214,1,1,39,oh no decided to how's headache,Jim,False
215,1,1,39,better thanks,Pam,False
216,1,1,39,good good,Jim,False
217,1,1,39,yeah,Pam,False
218,1,1,39,that's great,Jim,False
219,1,1,39,is...,Pam,False
220,1,1,39,yeah,Jim,False
221,1,1,39,um you,Pam,False
222,1,1,39,walking out,Jim,False
223,1,1,39,yes,Pam,False
224,1,1,39,yes i want to,Jim,False
225,1,1,39,yeah,Pam,False
